num; Region; CCAA;PP;PSOE;Ciudadanos;Podemos
1; andalucía; An;1294293;1402393;613447;752367
2; aragón; Ar;229691;169057;126346;136434
3; cantabria; Cn;129216;78460;53371;62569
5; castilla y león; CL;446235;331856;161083;159726
4; castilla-la mancha; CM;590438;339277;231979;227577
6; cataluña; Cat;418369;590274;490872;
7; ceuta y melilla; CyM;27144;14532;8758;7861
8; comunidad de madrid; Ma;1210219;645645;681167;756257
9; comunidad foral de navarra; Na;102244;54856;24969;81216
10; comunidad valenciana; CV;838135;531489;424621;
11; extremadura; Ex;225564;233251;73756;82098
12; galicia; Ga;609623;350220;148852;
13; islas baleares; IB;140640;88635;71551;111628
14; islas canarias; Ca;283575;218413;113642;231519
15; la rioja; LR;67941;41973;26812;28073
16; país vasco; PV;142127;161988;50268;317674
17; principado de asturias; As;187568;145113;84464;132984
18; región de murcia; Mu;293943;147883;128570;110601
