num; CCAA; Provincia; Mat;PP;PSOE;Ciudadanos;Podemos
1; Andalucía; Almería; AL;117635;89434;44494;39780
2; Andalucía; Cádiz; CA;179319;180895;94962;130734
3; Andalucía; Córdoba; CO;142101;149851;55812;68740
4; Andalucía; Granada; GR;158693;158027;70845;83650
5; Andalucía; Huelva; H;74353;95637;30776;39435
6; Andalucía; Jaén; J;121984;148511;41398;48640
7; Andalucía; Málaga; MA;224745;208896;132586;132980
8; Andalucía; Sevilla; SE;275463;371142;142574;208408
9; Aragón; Huesca; HU;39747;30183;19789;21943
10; Aragón; Teruel; TE;28282;19938;11427;11895
11; Aragón; Zaragoza; Z;161662;118936;95130;102596
12; Cantabria; Cantabria; S;129216;78460;53371;62569
13; Castilla-La Mancha; Albacete; AB;85241;65205;33755;32320
14; Castilla-La Mancha; Ciudad Real; CR;113451;91959;36477;36879
15; Castilla-La Mancha; Cuenca; CU;50736;37019;13049;14113
16; Castilla-La Mancha; Guadalajara; GU;47365;30685;24603;23827
17; Castilla-La Mancha; Toledo; TO;149442;106988;53199;52587
18; Castilla y León; Ávila; AV;47072;20254;15971;11951
19; Castilla y León; Burgos; BU;82037;44640;33558;36818
20; Castilla y León; León; LE;104077;74128;37902;51441
21; Castilla y León; Palencia; P;42182;25698;14814;14083
22; Castilla y León; Salamanca; SA;89375;45593;35242;25743
23; Castilla y León; Segovia; SG;36182;19769;15665;13144
24; Castilla y León; Soria; SO;20030;12331;7872;8328
25; Castilla y León; Valladolid; VA;121323;70879;56347;50204
26; Castilla y León; Zamora; ZA;48160;25985;14608;15865
27; Cataluña; Barcelona; B;321980;464588;387061;
28; Cataluña; Girona; GI;28410;42096;32762;
29; Cataluña; Lleida; L;22360;24668;17897;
30; Cataluña; Tarragona; T;45619;58922;53152;
31; Ceuta y Melilla; Ceuta; CE;14813;7627;4392;4646
32; Ceuta y Melilla; Melilla; ML;12331;6905;4366;3215
33; Comunidad de Madrid; Madrid; M;1210219;645645;681167;756257
34; Comunidad Foral de Navarra; Navarra; Na;102244;54856;24969;81216
35; Comunidad Valenciana; Alicante; A;297083;188711;154397;
36; Comunidad Valenciana; Castellón; CS;98474;66590;48328;
37; Comunidad Valenciana; Valencia; V;442578;276188;221896;
38; Extremadura; Badajoz; BA;137640;148493;45350;47368
39; Extremadura; Cáceres; CC;87924;84758;28406;34730
40; Galicia; A Coruña; C;239303;137734;66784;
41; Galicia; Lugo; LU;86446;48772;15441;
42; Galicia; Ourense; OU;86673;44726;15174;
43; Galicia; Pontevedra; PO;197201;118988;51453;
44; Islas Baleares; Baleares; IB;140640;88635;71551;111628
45; Islas Canarias; Las Palmas; GC;145372;115521;63385;136583
46; Islas Canarias; Santa Cruz de Tenerife; TF;138203;102892;50257;94936
47; La Rioja; La Rioja; LO;67941;41973;26812;28073
48; País Vasco; Álava; VI;33683;25331;10512;48413
49; País Vasco; Guipúzcoa; SS;33884;51764;14608;98533
50; País Vasco; Vizcaya; BI;74560;84893;25148;170728
51; Principado de Asturias; Asturias; O;187568;145113;84464;132984
52; Región de Murcia; Murcia; MU;293943;147883;128570;110601
